Speaker,enunciado,número
Speaker: Chandler,"enunciado: ""Sério, isso é hilário.""",número: 3
Speaker: Monica,"enunciado: ""Eu não acredito nisso!""",número: 5
Speaker: Phoebe,"enunciado: ""Eu não acredito nisso!""",número: 5
Speaker: Joey,"enunciado: ""Isso é assustador.""",número: 3
Speaker: Monica,"enunciado: ""Quem pegou meu café?""",número: 3
Speaker: Phoebe,"enunciado: ""Eu não acredito nisso!""",número: 7
Speaker: Ross,"enunciado: ""Achei que tinha acabado.""",número: 5
Speaker: Chandler,"enunciado: ""Uau, isso é incrível!""",número: 4
Speaker: Monica,"enunciado: ""Quem pegou meu café?""",número: 6
Speaker: Monica,"enunciado: ""Você não entende nunca?""",número: 5
Speaker: Rachel,"enunciado: ""Isso é assustador.""",número: 2
Speaker: Monica,"enunciado: ""Isso é assustador.""",número: 6
Speaker: Ross,"enunciado: ""Essa foi boa!""",número: 4
Speaker: Joey,"enunciado: ""Eu preciso de férias.""",número: 3
Speaker: Joey,"enunciado: ""Isso é maravilhoso!""",número: 7
Speaker: Rachel,"enunciado: ""Por que sempre comigo?""",número: 1
Speaker: Rachel,"enunciado: ""Isso é mais difícil do que parece.""",número: 1
Speaker: Rachel,"enunciado: ""Isso é assustador.""",número: 4
Speaker: Rachel,"enunciado: ""Eu não quero falar sobre isso.""",número: 5
Speaker: Monica,"enunciado: ""Você fez isso de propósito?""",número: 4
Speaker: Monica,"enunciado: ""Sério, isso é hilário.""",número: 2
Speaker: Rachel,"enunciado: ""Sério, isso é hilário.""",número: 6
Speaker: Ross,"enunciado: ""Uau, isso é incrível!""",número: 6
Speaker: Ross,"enunciado: ""Você só pode estar brincando.""",número: 5
Speaker: Phoebe,"enunciado: ""Achei que tinha acabado.""",número: 5
Speaker: Rachel,"enunciado: ""Achei que tinha acabado.""",número: 4
Speaker: Joey,"enunciado: ""Ok, isso é nojento.""",número: 6
Speaker: Ross,"enunciado: ""Eu não quero falar sobre isso.""",número: 5
Speaker: Ross,"enunciado: ""Posso cantar uma música sobre isso?""",número: 4
Speaker: Monica,"enunciado: ""Isso é maravilhoso!""",número: 4
Speaker: Monica,"enunciado: ""Achei que seria diferente.""",número: 3
Speaker: Joey,"enunciado: ""Por que sempre comigo?""",número: 1
Speaker: Ross,"enunciado: ""Posso cantar uma música sobre isso?""",número: 3
Speaker: Monica,"enunciado: ""Sério, isso é hilário.""",número: 4
Speaker: Ross,"enunciado: ""Sério, isso é hilário.""",número: 4
Speaker: Monica,"enunciado: ""Achei que tinha acabado.""",número: 5
Speaker: Ross,"enunciado: ""Eu não acredito nisso!""",número: 5
Speaker: Phoebe,"enunciado: ""Você fez isso de propósito?""",número: 4
Speaker: Phoebe,"enunciado: ""Ok, isso é nojento.""",número: 2
Speaker: Ross,"enunciado: ""Você não entende nunca?""",número: 5
Speaker: Monica,"enunciado: ""Isso é assustador.""",número: 7
Speaker: Phoebe,"enunciado: ""Isso é assustador.""",número: 2
Speaker: Chandler,"enunciado: ""Por que sempre comigo?""",número: 4
Speaker: Phoebe,"enunciado: ""Isso é maravilhoso!""",número: 1
Speaker: Monica,"enunciado: ""Quem pegou meu café?""",número: 2
Speaker: Rachel,"enunciado: ""Quem pegou meu café?""",número: 1
Speaker: Ross,"enunciado: ""Achei que seria diferente.""",número: 2
Speaker: Chandler,"enunciado: ""Isso é assustador.""",número: 3
Speaker: Monica,"enunciado: ""Por que sempre comigo?""",número: 7
Speaker: Monica,"enunciado: ""Achei que tinha acabado.""",número: 1
Speaker: Phoebe,"enunciado: ""Achei que seria diferente.""",número: 6
Speaker: Rachel,"enunciado: ""Uau, isso é incrível!""",número: 7
Speaker: Rachel,"enunciado: ""Quem pegou meu café?""",número: 5
Speaker: Ross,"enunciado: ""Eu preciso de férias.""",número: 4
Speaker: Joey,"enunciado: ""Quem pegou meu café?""",número: 4
Speaker: Monica,"enunciado: ""Eu não quero falar sobre isso.""",número: 3
Speaker: Rachel,"enunciado: ""Eu não acredito nisso!""",número: 6
Speaker: Phoebe,"enunciado: ""Uau, isso é incrível!""",número: 5
Speaker: Monica,"enunciado: ""Isso é maravilhoso!""",número: 2
Speaker: Monica,"enunciado: ""Ok, isso é nojento.""",número: 3
Speaker: Joey,"enunciado: ""Sério, isso é hilário.""",número: 2
Speaker: Chandler,"enunciado: ""Não vou cair nessa de novo.""",número: 3
Speaker: Phoebe,"enunciado: ""Isso é muito triste.""",número: 3
Speaker: Chandler,"enunciado: ""Essa foi boa!""",número: 1
Speaker: Chandler,"enunciado: ""Você não entende nunca?""",número: 3
Speaker: Chandler,"enunciado: ""Por que sempre comigo?""",número: 2
Speaker: Ross,"enunciado: ""Posso cantar uma música sobre isso?""",número: 4
Speaker: Chandler,"enunciado: ""Você fez isso de propósito?""",número: 2
Speaker: Monica,"enunciado: ""Eu preciso de férias.""",número: 5
Speaker: Joey,"enunciado: ""Posso cantar uma música sobre isso?""",número: 6
Speaker: Rachel,"enunciado: ""Eu preciso de férias.""",número: 2
Speaker: Chandler,"enunciado: ""Isso é assustador.""",número: 7
Speaker: Phoebe,"enunciado: ""Essa foi boa!""",número: 5
Speaker: Ross,"enunciado: ""Isso é assustador.""",número: 5
Speaker: Monica,"enunciado: ""Não vou cair nessa de novo.""",número: 2
Speaker: Chandler,"enunciado: ""Você só pode estar brincando.""",número: 5
Speaker: Joey,"enunciado: ""Não vou cair nessa de novo.""",número: 1
